,open,high,low,close,volume,pre_close,p_change,date,date_week,key,atr21,atr14
2017-01-17,236.7,239.96,234.37,235.58,4617522,237.75,-0.9129999999999999,20170117,1,0,5.590000000000003,5.590000000000003
2017-01-18,236.65,239.71,235.58,238.36,3768967,235.58,1.18,20170118,2,1,4.825238095238094,4.8078571428571415
2017-01-19,247.25,248.68,240.75,243.76,7732303,238.36,2.265,20170119,3,2,7.85015105740181,7.97548387096774
2017-01-20,245.46,246.0,243.01,244.73,4204275,243.76,0.39799999999999996,20170120,4,3,7.7898814910579475,7.872849891225512
2017-01-23,245.85,250.89,245.5,248.92,6262938,244.73,1.712,20170123,0,4,7.631631422908696,7.679041491231216
2017-01-24,250.0,254.8,249.65,254.61,4965451,248.92,2.286,20170124,1,5,8.140601805949228,8.232266663172755
2017-01-25,257.31,258.46,251.8,254.47,5146361,254.61,-0.055,20170125,2,6,8.401914610793861,8.507833804445411
2017-01-26,254.29,255.74,250.75,252.51,3152123,254.47,-0.77,20170126,3,7,7.820511899639857,7.819797312988229
2017-01-27,251.38,253.0,248.52,252.95,3166336,252.51,0.174,20170127,4,8,7.525242177277642,7.475524163601839
2017-01-30,252.53,255.29,247.1,250.63,3801074,252.95,-0.917,20170130,0,9,7.623593335786904,7.600717228560541
2017-01-31,249.24,255.89,247.7,251.93,4116104,250.63,0.519,20170131,1,10,7.702871290046839,7.699821978047946
2017-02-01,253.05,253.2,249.05,249.24,3958829,251.93,-1.068,20170201,2,11,7.228842954908738,7.122920194206785
2017-02-02,248.34,252.42,247.71,251.55,2499775,249.24,0.927,20170202,3,12,6.90648023418717,6.7419018093464
2017-02-03,251.91,252.179,249.68,251.33,2186723,251.55,-0.087,20170203,4,13,6.416870727338884,6.155797855768344
2017-02-06,251.0,257.82,250.63,257.77,3562517,251.33,2.562,20170206,0,14,6.509276386883377,6.311943510357537
2017-02-07,258.19,260.0,256.42,257.48,4244775,257.77,-0.113,20170207,1,15,6.760345832794577,6.6617927306599
2017-02-08,257.35,263.36,256.2,262.08,3933014,257.48,1.787,20170208,2,16,6.805639051713736,6.734613937013942
2017-02-09,266.25,271.18,266.15,269.2,7820222,262.08,2.717,20170209,3,17,7.569849017627364,7.739819984723372
2017-02-10,269.79,270.95,266.11,269.23,3619739,269.2,0.011000000000000001,20170210,4,18,7.711148088695419,7.901149737480015
2017-02-13,270.74,280.79,270.51,280.6,7029605,269.23,4.223,20170213,0,19,8.125337625104612,8.422811148266607
2017-02-14,279.03,287.39,278.61,280.98,7345224,280.6,0.135,20170214,1,20,9.180111910586557,9.788762561537977
2017-02-15,280.0,282.24,276.44,279.76,4947856,280.98,-0.434,20170215,2,21,8.829793845908299,9.233072598185267
2017-02-16,277.6,280.0,268.5,268.95,7077322,279.76,-3.864,20170216,3,22,9.203348685306683,9.682725464779358
2017-02-17,265.8,272.89,264.15,272.23,6257149,268.95,1.22,20170217,4,23,9.851584011199598,10.499360393141167
2017-02-21,275.45,281.4,274.01,277.39,5676747,272.23,1.895,20170221,1,24,10.111822629594016,10.76692267122542
2017-02-22,280.31,283.45,272.6,273.51,8754975,277.39,-1.399,20170222,2,25,10.221793153517833,10.828832366483526
2017-02-23,264.0,264.66,255.56,255.99,14915249,273.51,-6.406000000000001,20170223,3,26,11.364226884658152,12.327102989249026
2017-02-24,252.66,258.25,250.2,257.0,8171626,255.99,0.395,20170224,4,27,12.531122724850148,13.818621599662277
